Table 1;;;;;;;
   Rank;   Movies;       Worldwide($);       Domestic($);  Domestic share(%);      Foreign($);   Foreign share(%);    
1;Top Gun: Maverick;$1,463,255,000;$709,055,000;48.50%;$754,200,000;51.50%;
2;Jurassic World Dominion;$997,782,460;$375,977,460;37.70%;$621,805,000;62.30%;
3;Doctor Strange in the Multiverse of Madness;$955,775,804;$411,331,607;43%;$544,444,197;57%;
4;Minions: The Rise of Gru;$913,199,540;$364,099,540;39.90%;$549,100,000;60.10%;
5;The Batman;$770,836,163;$369,345,583;47.90%;$401,490,580;52.10%;
6;Thor: Love and Thunder;$758,661,016;$342,944,605;45.20%;$415,716,411;54.80%;
7;Water Gate Bridge;$626,571,280;$117,294;<0.1%;$626,453,986;100%;
8;Fantastic Beasts: The Secrets of Dumbledore;$405,161,334;$95,850,844;23.70%;$309,310,490;76.30%;
9;Sonic the Hedgehog 2;$401,872,904;$190,872,904;47.50%;$211,000,000;52.50%;
10;Uncharted;$401,748,820;$148,648,820;37%;$253,100,000;63%;
11;Elvis;$284,171,216;$150,471,216;53%;$133,700,000;47%;
12;The Bad Guys;$245,713,440;$96,713,440;39.40%;$149,000,000;60.60%;
13;Lightyear;$226,414,635;$118,307,188;52.30%;$108,107,447;47.70%;
14;Bullet Train;$222,081,145;$96,381,145;43.40%;$125,700,000;56.60%;
15;Too Cool to Kill;$217,254,604;$185,882;<0.1%;$217,068,722;99.90%;
16;Nice View;$211,019,042;NA;NA;$211,019,042;100%;
17;The Lost City;$190,844,029;$105,344,029;55.20%;$85,500,000;44.80%;
18;DC League of SuperPets;$177,560,000;$87,860,000;49.50%;$89,700,000;50.50%;
19;Nope;$169,048,455;$122,746,455;72.60%;$46,302,000;27.40%;
20;Morbius;$163,865,530;$73,865,530;45.10%;$90,000,000;54.90%;
21;The Black Phone;$159,538,800;$89,857,800;56.30%;$69,681,000;43.70%;
22;Scream;$140,041,405;$81,641,405;58.30%;$58,400,000;41.70%;
23;Death on the Nile;$137,307,235;$45,630,104;33.20%;$91,677,131;66.80%;
24;Where the Crawdads Sing;$126,975,124;$88,875,124;70%;$38,100,000;30%;
25;One Piece Film: Red;$105,198,541;NA;NA;$105,198,541;100%;
